smiles,DockingScore
Oc1nc2ccccc2nc1Cc1ccc(cc1)[N+](=O)[O-],-10.226984024047852
NO[C@@H]1OC(CO)C([C@@H](C1O)O)O,-10.221495628356934
O=C1C[C@@H]2[C@H](O1)[C@H]([C@H](O2)[C@H](c1ccccc1)O)O,-10.220444679260254
Oc1ccc(c(c1)Cc1nc2c(s1)cccc2)O,-10.219318389892578
ONC(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O,-10.19831085205078
CCCC[NH2+][C@@H]1C[C@@H](O)[C@@H]([C@H]([C@H]1O)O)O,-10.181876182556152
Clc1cc(Cc2cc(Cl)cc(c2O)C(=O)[O-])c(c(c1)C(=O)[O-])O,-10.18141746520996
OC[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,-10.175081253051758
O=C(c1ccccc1O)OCc1nc2c(s1)cccc2,-10.166654586791992
OC(Cn1c2ccccc2c2c1cccc2)Cn1cnc2c1cccc2,-10.164382934570312
OCc1c(CO)cnc(c1O)F,-10.157770156860352
ONC(=O)C1CC2CC1C=C2,-10.146544456481934
OC[C@H]1O[C@@H]([C@H]([C@H]1O)O)n1ccc(=O)[nH]c1=O,-10.144699096679688
O=C1NC(=O)NC(=O)C1(O)O,-10.139837265014648
OC[C@@H]([C@H]1O[14C](=O)C(=C1[O-])O)O,-10.133490562438965
OCC(C(=O)NO)NC(=O)c1n[nH]c2c1cccc2,-10.12666130065918
OC[C@H]([C@@H]1O[C@H]([C@@H]([C@H]1O)O)OCc1ccccc1)O,-10.115581512451172
N#C[C@H]1NC[C@H]([C@@H]([C@H]1O)O)O,-10.109800338745115
C=C[C@H]([C@@H](C[NH2+]C[C@H]([C@@H](C=C)O)O)O)O,-10.105573654174805
OC[C@H]1O[C@@H](Oc2c(O)cc(c3c2oc(C)cc3=O)[O-])[C@@H]([C@H]([C@@H]1O)O)O,-10.093927383422852
Cn1c2ncc(c(c2oc1=O)CO)CO,-10.083171844482422
ONC(=O)c1ccc(c(c1O)O)O,-10.064386367797852
COC(=O)C1C[C@H](O)[C@@H]([C@@H](C1)O)O,-10.044438362121582
O[C@@H]([C@@H](CO)O)Cn1ccc(=O)[nH]c1=O,-10.039902687072754
CC(C(C(C(C1NN=C(S1)c1ccc(cc1)C)O)O)O)O,-10.039037704467772
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc2c1nc(N)[nH]c2=O,-10.038702011108398
ONC(=O)N/N=C/c1cccc(c1)I,-10.03359317779541
OC[C@@H]([C@H]([C@H]([C@H](/C=N/NC(=O)c1ccco1)O)O)O)O,-10.03088092803955
OC[C@H]1O[C@@H](O[C@H]2C[C@H]3[C@@H]([C@]2(C)O)COC(=O)[C@@H]3C)[C@@H]([C@H]([C@@H]1O)O)O,-10.023011207580566
Brc1ccc(cc1)CNc1ncccc1S(=O)(=O)N,-10.009052276611328
